target_id,wavelength_bin_um,cwave_um,cband_um,aperture_flux_uJy,aperture_flux_unc_uJy,psf_flux_uJy,psf_flux_unc_uJy,measurement_count
ucs_0972,1.68,1.6780607979009416,0.040323717349096636,74056.63671875,317.18882751464844,74516.46484375,296.3538818359375,2
ucs_0972,1.7,1.699000782192041,0.04073773782479518,74412.796875,323.1589050292969,74521.140625,292.3728942871094,1
ucs_0972,1.72,1.7155937831731534,0.04124720442394513,72471.6171875,321.1953430175781,73341.890625,294.50335693359375,1
ucs_0972,1.76,1.7561962166799727,0.04279810217585797,64230.990234375,301.0208435058594,64873.8046875,271.9539031982422,2
ucs_0972,1.78,1.7780680042412014,0.0432356905299154,59089.13671875,283.40594482421875,60120.6171875,260.1799011230469,1
ucs_0972,1.8,1.7955637408728893,0.04372648766408451,55842.82421875,319.49334716796875,56658.03125,252.84080505371094,1
ucs_0972,1.82,1.8196810960502576,0.04501706910892107,53158.765625,276.3707275390625,53529.04296875,247.83152770996094,1
ucs_0972,1.84,1.8389724375545728,0.04537217697527887,51870.107421875,273.70790100097656,52476.7265625,242.84803009033203,2
ucs_0972,1.86,1.8623598832192934,0.045989388593917484,53692.0234375,287.5597229003906,53564.875,249.19512939453125,1
ucs_0972,1.8800000000000001,1.8816348176464803,0.04619987191832542,54263.265625,277.3479461669922,54572.69921875,249.9667739868164,2
ucs_0972,1.9000000000000001,1.9053348431420454,0.046839640574672256,57363.171875,276.6506042480469,58015.20703125,257.50067138671875,1
ucs_0972,1.92,1.9249515573776406,0.04727628246172297,53479.92578125,266.13038635253906,54421.12890625,242.7398452758789,2
ucs_0972,1.96,1.9591362067796787,0.04799972592139206,50761.431640625,256.1511688232422,51296.490234375,232.9644546508789,2
ucs_0972,2.0,1.995197496372605,0.048876821560501924,51101.26953125,265.55824279785156,51659.6875,234.8148193359375,2
ucs_0972,2.02,2.012008533564231,0.04917378630831486,53305.87890625,289.76361083984375,53602.6953125,245.29193115234375,1
ucs_0972,2.04,2.041244335346444,0.05071689506965199,54339.951171875,261.72967529296875,54762.681640625,245.06871032714844,2
ucs_0972,2.08,2.088450960643566,0.052116212180972635,58472.9375,274.37367248535156,58743.87890625,249.08859252929688,2
ucs_0972,2.1,2.0979493418100876,0.05304162744892395,60243.455078125,277.51776123046875,60283.13671875,254.59342193603516,2
ucs_0972,2.14,2.13905711469254,0.053992869945192354,64044.5078125,278.6125183105469,65243.837890625,263.2248229980469,2
