target_id,wavelength_bin_um,cwave_um,cband_um,aperture_flux_uJy,aperture_flux_unc_uJy,psf_flux_uJy,psf_flux_unc_uJy,measurement_count
cvj_arcturus_gaia_1233967198192238208,1.78,1.7725678785715686,0.04354596455388203,24623.619140625,6577.40576171875,23563.1640625,338.3046569824219,1
cvj_arcturus_gaia_1233967198192238208,1.8,1.7904800710444,0.044026613304765407,14473.8515625,1687.2681884765625,19483.822265625,200.5878448486328,1
cvj_arcturus_gaia_1233967198192238208,1.82,1.8139161607417271,0.04470737652911553,23221.544921875,4543.443359375,22291.541015625,314.4855041503906,1
cvj_arcturus_gaia_1233967198192238208,1.84,1.8324409425082329,0.0452940217907338,14321.6240234375,2107.486083984375,17197.369140625,218.0750732421875,1
cvj_arcturus_gaia_1233967198192238208,1.86,1.8564227644605389,0.04566347794933937,22754.951171875,3983.50732421875,17998.0546875,253.37322998046875,1
cvj_arcturus_gaia_1233967198192238208,1.8800000000000001,1.8752613815170152,0.04609030937205192,20242.853515625,1195.6513671875,20570.31640625,210.12191772460938,1
cvj_arcturus_gaia_1233967198192238208,1.9000000000000001,1.8994478537744957,0.0470062597329123,18159.181640625,3086.1279296875,19937.74609375,259.64080810546875,1
cvj_arcturus_gaia_1233967198192238208,1.92,1.929368088946512,0.047368323623454195,23301.640625,3100.11474609375,16992.095703125,256.3398132324219,1
cvj_arcturus_gaia_1233967198192238208,1.94,1.9430496471563787,0.047382968469124855,21034.716796875,5047.36572265625,20266.810546875,271.8172607421875,1
cvj_arcturus_gaia_1233967198192238208,1.98,1.9806950942655475,0.048521621413084706,15251.693359375,3703.276123046875,17122.8818359375,257.46866607666016,2
cvj_arcturus_gaia_1233967198192238208,2.02,2.0191037469009747,0.049357801327085456,15609.6552734375,3410.91357421875,16610.189453125,241.6524658203125,1
cvj_arcturus_gaia_1233967198192238208,2.04,2.0334732596407257,0.05025262268988159,15168.9404296875,6092.6767578125,19073.95703125,347.64862060546875,1
cvj_arcturus_gaia_1233967198192238208,2.06,2.0656952864111515,0.05137578228201254,19130.61328125,3214.069580078125,15579.73046875,240.83010864257812,1
cvj_arcturus_gaia_1233967198192238208,2.08,2.0805562029439364,0.05227992218736877,17596.267578125,2504.97216796875,15045.6728515625,214.43907165527344,1
cvj_arcturus_gaia_1233967198192238208,2.12,2.114590037720026,0.05326355237636999,13284.8642578125,2570.479736328125,15737.3642578125,224.5377655029297,3
